StartDate,EndDate,RecordedDate,ExternalReference,Starting level,L1 problem,L1 incorrect answer,L1 idk answer,softexitaftrL1wrong,L1 answer after hint,L1 wrng after hint,l1 idk after hint,L1 right after hint,chce L1 init wrong,L1 choice correct,L1correct soln chce,softexitaftrL1right,l1sim problem,l1sim rt choice,l1sim wrng choice,idk after L1sim,chice after sim soln,L2 problem,L2 choice aftr wrong,L2 choice after idk,L2 after hint answer,L2 hint right choice,L2 hint wrong choice,idk after L2hint,L2 right choice,L2 soln,L1x1q answer,L1x1 right choice,L1x1 wrong choice,L1x1 idk choice,L1x2q answer,L1x2 right choice,L1x2 wrong choice,L1x2 idk choice,L2x1q answer,L2x1 right choice,L2x1 wrong choice,L2x1 idk choice,L2x2q answer,Problem Number,Problem Label
2024-08-17 13:22:01,2024-08-17 13:26:58,2024-08-17,S24Student355,L1 Start,d,hint,,,a,,,soln maybe more,similar problem,,,,a,L1sim soln maybe more,,,L2,a,,,,,,,L2 soln,flashcards,a,Try L1X2 flashcard,,,a,Try L2X1 flashcard,,,a,Try L2X2 flashcard,,,a,#96,IE11
2024-08-17 12:36:53,2024-08-17 14:09:45,2024-08-17,S24Student221,L1 Start,b,hint,,,d,soln maybe another,,,similar problem,,,,a,L1sim soln maybe more,,,exit,,,,,,,,,,,,,,,,,,,,,,,#96,IE11
2024-08-17 15:14:38,2024-08-17 15:15:57,2024-08-17,S24Student249,L1 Start,a,,,,,,,,,straight to L2,,,,,,,,a,,,,,,,exit,,,,,,,,,,,,,,,#96,IE11
2024-08-17 15:33:47,2024-08-17 15:35:06,2024-08-17,S24Student234,L1 Start,a,,,,,,,,,straight to L2,,,,,,,,a,,,,,,,exit,,,,,,,,,,,,,,,#96,IE11
2024-08-17 15:34:17,2024-08-17 15:35:31,2024-08-17,S24Student359,L2 Start,,,,,,,,,,,,,,,,,,a,,,,,,,exit,,,,,,,,,,,,,,,#96,IE11
2024-08-17 15:36:34,2024-08-17 15:38:00,2024-08-17,S24Student357,L1 Start,b,hint,,,d,soln maybe another,,,similar problem,,,,a,exit,,,,,,,,,,,,,,,,,,,,,,,,,,#96,IE11
2024-08-17 15:39:26,2024-08-17 15:40:42,2024-08-17,S24Student110,L1 Start,d,hint,,,b,soln maybe another,,,exit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#96,IE11
2024-08-17 15:44:33,2024-08-17 15:45:49,2024-08-17,S24Student141,L1 Start,c,hint,,,a,,,exit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#96,IE11
2024-08-17 15:56:54,2024-08-17 15:58:16,2024-08-17,S24Student226,L1 Start,a,,,,,,,,,L1 soln maybe more,L1sim,,a,L1sim soln maybe more,,,L2,a,,,,,,,L2 soln,flashcards,a,Try L1X2 flashcard,,,a,Try L2X1 flashcard,,,a,Try L2X2 flashcard,,,a,#96,IE11
2024-08-17 16:21:16,2024-08-17 16:21:42,2024-08-17,S24Student227,L2 Start,,,,,,,,,,,,,,,,,,a,,,,,,,exit,,,,,,,,,,,,,,,#96,IE11
2024-08-17 16:59:20,2024-08-17 17:02:08,2024-08-17,S24Student160,L1 Start,d,hint,,,a,,,soln maybe more,similar problem,,,,a,L1sim soln maybe more,,,L2,a,,,,,,,L2 soln,flashcards,a,Try L1X2 flashcard,,,a,Try L2X1 flashcard,,,a,Try L2X2 flashcard,,,a,#96,IE11
2024-08-17 18:37:40,2024-08-17 18:41:08,2024-08-17,S24Student329,L1 Start,d,hint,,,a,,,soln maybe more,similar problem,,,,b,,similar soln then maybe L2,,L2,c,L2 hint,,a,L2 soln,,,,flashcards,d,,Try L1X2 flashcard,,d,,Try L2X1 flashcard,,a,Try L2X2 flashcard,,,c,#96,IE11
2024-08-17 19:24:31,2024-08-17 19:27:08,2024-08-17,S24Student348,L2 Start,,,,,,,,,,,,,,,,,,a,,,,,,,L2 soln,flashcards,a,Try L2X1 flashcard,,,,,,,a,Try L2X2 flashcard,,,a,#96,IE11
2024-08-17 20:32:13,2024-08-17 20:34:50,2024-08-17,S24Student347,L1 Start,a,,,,,,,,,straight to L2,,,,,,,,a,,,,,,,L2 soln,flashcards,a,Try L2X1 flashcard,,,,,,,a,Try L2X2 flashcard,,,a,#96,IE11
2024-08-17 20:54:37,2024-08-17 20:55:15,2024-08-17,S24Student225,L1 Start,c,hint,,,d,exit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#96,IE11
2024-08-17 21:41:11,2024-08-17 21:43:13,2024-08-17,S24Student374,L1 Start,c,hint,,,a,,,soln maybe more,similar problem,,,,a,exit,,,,,,,,,,,,,,,,,,,,,,,,,,#96,IE11
2024-08-17 21:39:44,2024-08-17 21:45:56,2024-08-17,S24Student157,L1 Start,a,,,,,,,,,straight to L2,,,,,,,,a,,,,,,,L2 soln,flashcards,a,Try L2X1 flashcard,,,,,,,a,Try L2X2 flashcard,,,a,#96,IE11
2024-08-17 23:13:35,2024-08-17 23:16:33,2024-08-17,S24Student169,L1 Start,c,hint,,,a,,,soln maybe more,similar problem,,,,a,exit,,,,,,,,,,,,,,,,,,,,,,,,,,#96,IE11
2024-08-18 06:42:09,2024-08-18 06:45:56,2024-08-18,S24Student186,L1 Start,c,hint,,,a,,,soln maybe more,similar problem,,,,a,L1sim soln maybe more,,,L2,a,,,,,,,L2 soln,flashcards,a,Try L1X2 flashcard,,,a,Try L2X1 flashcard,,,a,Try L2X2 flashcard,,,a,#96,IE11
2024-08-18 09:34:37,2024-08-18 09:35:45,2024-08-18,S24Student81,L2 Start,,,,,,,,,,,,,,,,,,c,L2 hint,,a,L2 soln,,,,exit,,,,,,,,,,,,,,#96,IE11
2024-08-17 12:24:13,2024-08-17 12:25:55,2024-08-18,S24Student92,L1 Start,a,,,,,,,,,straight to L2,,,,,,,,b,L2 soln,,,,,,,,,,,,,,,,,,,,,#96,IE11
2024-08-17 13:08:08,2024-08-17 13:08:13,2024-08-18,S24Student95,L1 Start,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#96,IE11
2024-08-17 13:21:49,2024-08-17 13:21:53,2024-08-18,Carlatextpreview,L1 Start,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#96,IE11
2024-08-18 13:32:32,2024-08-18 14:12:56,2024-08-18,S24Student203,L1 Start,c,hint,,,a,,,soln maybe more,similar problem,,,,b,,similar soln then maybe L2,,L2,b,L2 hint,,a,L2 soln,,,,flashcards,b,,Try L1X2 flashcard,,b,,Try L2X1 flashcard,,a,Try L2X2 flashcard,,,b,#96,IE11
2024-08-17 15:32:46,2024-08-17 15:34:10,2024-08-18,S24Student312,L2 Start,,,,,,,,,,,,,,,,,,b,L2 hint,,a,L2 soln,,,,,,,,,,,,,,,,,,#96,IE11
2024-08-17 16:24:21,2024-08-17 16:30:03,2024-08-18,S24Student38,L1 Start,d,soln maybe more,,,,,,,similar problem,,,,a,L1sim soln maybe more,,,L2,a,,,,,,,L2 soln,flashcards,a,,,,,,,,,,,,,#96,IE11
2024-08-18 17:38:09,2024-08-18 17:44:06,2024-08-18,S24Student216,L1 Start,a,,,,,,,,,straight to L2,,,,,,,,a,,,,,,,L2 soln,flashcards,a,Try L2X1 flashcard,,,,,,,a,Try L2X2 flashcard,,,b,#96,IE11
2024-08-17 17:42:00,2024-08-17 17:44:50,2024-08-18,S24Student66,L1 Start,b,hint,,,a,,,soln maybe more,similar problem,,,,a,L1sim soln maybe more,,,L2,a,,,,,,,L2 soln,flashcards,a,,,,,,,,,,,,,#96,IE11
2024-08-18 18:58:18,2024-08-18 19:00:01,2024-08-18,S24Student211,L1 Start,d,hint,,,b,soln maybe another,,,similar problem,,,,a,exit,,,,,,,,,,,,,,,,,,,,,,,,,,#96,IE11
2024-08-18 19:00:04,2024-08-18 19:04:19,2024-08-18,S24Student145,L1 Start,c,hint,,,b,soln maybe another,,,similar problem,,,,a,L1sim soln maybe more,,,L2,a,,,,,,,L2 soln,flashcards,a,Try L1X2 flashcard,,,a,Try L2X1 flashcard,,,a,Try L2X2 flashcard,,,a,#96,IE11
2024-08-18 19:40:46,2024-08-18 19:46:16,2024-08-18,S24Student299,L2 Start,,,,,,,,,,,,,,,,,,a,,,,,,,L2 soln,flashcards,a,Try L1X2 flashcard,,,a,Try L2X1 flashcard,,,a,Try L2X2 flashcard,,,a,#96,IE11
2024-08-17 20:33:53,2024-08-17 20:34:47,2024-08-18,S24Student283,L1 Start,a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#96,IE11
2024-08-17 21:20:59,2024-08-17 21:26:09,2024-08-18,S24Student356,L1 Start,a,,,,,,,,,L1 soln maybe more,L2,,,,,,,a,,,,,,,L2 soln,flashcards,a,,,,,,,,,,,,,#96,IE11
2024-08-17 21:53:38,2024-08-17 21:54:32,2024-08-18,S24Student156,L1 Start,idk,,soln maybe more,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#96,IE11
2024-08-18 12:11:36,2024-08-18 12:11:43,2024-08-19,S24Student363,L1 Start,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#96,IE11
2024-08-18 12:33:00,2024-08-18 12:34:12,2024-08-19,S24Student260,L1 Start,a,,,,,,,,,L1 soln maybe more,L2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#96,IE11
2024-08-18 15:48:22,2024-08-18 15:50:14,2024-08-19,S24Student215,L1 Start,idk,,soln maybe more,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#96,IE11
2024-08-18 16:26:25,2024-08-18 16:27:55,2024-08-19,S24Student328,L1 Start,d,hint,,,b,soln maybe another,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#96,IE11
