StartDate,EndDate,RecordedDate,ExternalReference,Starting level,L1 problem,L1 incorrect answer,L1 idk answer,softexitaftrL1wrong,L1 answer after hint,L1 wrng after hint,l1 idk after hint,L1 right after hint,chce L1 init wrong,L1 choice correct,L1correct soln chce,softexitaftrL1right,l1sim problem,l1sim rt choice,l1sim wrng choice,idk after L1sim,chice after sim soln,L2 problem,L2 choice aftr wrong,L2 choice after idk,L2 after hint answer,L2 hint right choice,L2 hint wrong choice,idk after L2hint,L2 right choice,L2 soln,L1x1q answer,L1x1 right choice,L1x1 wrong choice,L1x1 idk choice,L1x2q answer,L1x2 right choice,L1x2 wrong choice,L1x2 idk choice,L2x1q answer,L2x1 right choice,L2x1 wrong choice,L2x1 idk choice,L2x2q answer,Problem Number,Problem Label
2024-08-15 15:32:02,2024-08-15 15:37:49,2024-08-16,S24Student47,L1 Start,a,,,,,,,,,straight to L2,,,,,,,,d,L2 soln,,,,,,,flashcards,d,,Try L1X2 flashcard,,b,,,,,,,,,#94,DL07
2024-08-15 15:59:17,2024-08-15 16:01:28,2024-08-16,S24Student339,L2 Start,,,,,,,,,,,,,,,,,,a,,,,,,,L2 soln,flashcards,a,Try L2X1 flashcard,,,,,,,a,Try L2X2 flashcard,,,a,#94,DL07
2024-08-16 16:51:53,2024-08-16 16:53:39,2024-08-16,S24Student204,L1 Start,a,,,,,,,,,straight to L2,,,,,,,,a,,,,,,,L2 soln,flashcards,a,Try L2X1 flashcard,,,,,,,a,Try L2X2 flashcard,,,a,#94,DL07
2024-08-15 18:31:01,2024-08-15 18:31:19,2024-08-16,S24Student364,L1 Start,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#94,DL07
2024-08-15 19:16:15,2024-08-15 19:48:49,2024-08-16,S24Student66,L1 Start,b,hint,,,a,,,soln maybe more,similar problem,,,,a,,,,,,,,,,,,,,,,,,,,,,,,,,,#94,DL07
2024-08-15 20:59:44,2024-08-15 21:00:20,2024-08-16,S24Student81,L2 Start,,,,,,,,,,,,,,,,,,d,,,,,,,,,,,,,,,,,,,,,,#94,DL07
2024-08-15 22:29:27,2024-08-15 22:29:51,2024-08-16,S24Student347,L1 Start,a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#94,DL07
2024-08-16 12:24:07,2024-08-16 12:24:19,2024-08-17,S24Student73,L1 Start,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#94,DL07
2024-08-16 12:31:09,2024-08-16 12:31:36,2024-08-17,S24Student177,L2 Start,,,,,,,,,,,,,,,,,,a,,,,,,,L2 soln,,,,,,,,,,,,,,,#94,DL07
2024-08-16 12:16:57,2024-08-16 13:13:06,2024-08-17,S24Student21,L1 Start,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#94,DL07
2024-08-16 05:51:12,2024-08-16 16:32:01,2024-08-17,S24Student299,L2 Start,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#94,DL07
